onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	7	instruction	1	94	narrative	R
19	8	clip	1	94	narrative	R
32	7	instruction	0	130	narrative	R
39	8	clip	0	130	narrative	R
52	7	instruction	0	3	narrative	R
59	8	clip	0	3	narrative	R
72	7	instruction	0	99	narrative	R
79	8	clip	0	99	narrative	R
92	11	instruction	1	91	narrative	R
103	8	clip	1	91	narrative	R
116	7	instruction	0	114	narrative	F
123	8	clip	0	114	narrative	F
136	7	instruction	1	93	narrative	F
143	8	clip	1	93	narrative	F
156	9	instruction	0	26	narrative	R
165	8	clip	0	26	narrative	R
178	9	instruction	1	34	narrative	R
187	8	clip	1	34	narrative	R
200	9	instruction	0	9	narrative	R
209	8	clip	0	9	narrative	R
222	7	instruction	0	12	narrative	R
229	8	clip	0	12	narrative	R
242	11	instruction	0	13	narrative	F
253	8	clip	0	13	narrative	F
266	9	instruction	1	33	narrative	R
275	8	clip	1	33	narrative	R
288	7	instruction	1	11	narrative	R
295	8	clip	1	11	narrative	R
308	7	instruction	1	36	narrative	F
315	8	clip	1	36	narrative	F
328	7	instruction	1	18	narrative	F
335	8	clip	1	18	narrative	F
348	9	instruction	1	20	narrative	F
357	8	clip	1	20	narrative	F
370	9	instruction	1	105	narrative	R
379	8	clip	1	105	narrative	R
392	7	instruction	1	35	narrative	R
399	8	clip	1	35	narrative	R
412	9	instruction	1	106	narrative	R
421	8	clip	1	106	narrative	R
434	9	instruction	0	2	narrative	R
443	8	clip	0	2	narrative	R
456	7	instruction	1	8	narrative	F
463	8	clip	1	8	narrative	F
476	7	instruction	1	92	narrative	R
483	8	clip	1	92	narrative	R
496	11	instruction	0	14	narrative	R
507	8	clip	0	14	narrative	R
520	7	instruction	0	31	narrative	X
527	8	clip	0	31	narrative	X
540	11	instruction	1	135	narrative	R
551	8	clip	1	135	narrative	R
564	7	instruction	0	30	narrative	R
571	8	clip	0	30	narrative	R
584	7	instruction	0	47	narrative	R
591	8	clip	0	47	narrative	R
604	11	instruction	0	16	narrative	F
615	8	clip	0	16	narrative	F
628	7	instruction	0	115	narrative	R
635	8	clip	0	115	narrative	R
648	11	instruction	0	1	narrative	R
659	8	clip	0	1	narrative	R
672	11	instruction	0	17	narrative	R
683	8	clip	0	17	narrative	R
696	11	instruction	1	90	narrative	R
707	8	clip	1	90	narrative	R
720	7	instruction	1	75	narrative	F
727	8	clip	1	75	narrative	F
740	7	instruction	1	89	narrative	F
747	8	clip	1	89	narrative	F
760	11	instruction	1	128	narrative	F
771	8	clip	1	128	narrative	F
784	9	instruction	0	25	narrative	R
793	8	clip	0	25	narrative	R
806	9	instruction	0	104	narrative	R
815	8	clip	0	104	narrative	R
828	11	instruction	1	79	narrative	R
839	8	clip	1	79	narrative	R
852	7	instruction	0	68	narrative	F
859	8	clip	0	68	narrative	F
